mstardisk,mstarspheroid,sfrdisk,sfrspheroid,mzgasdisk,mzhothalo,mcolddisk,halomass,mbh,mhot
188705000000,87792100000,0,0,140676000,54742700000,16016600000,406870000000000,193306000,47339500000000
122355000000,167007000000,0,0,131074000,77508100000,11083600000,406720000000000,319183000,52330000000000
0,370150000000,0,0,272270000,66581300000,8705190000,406300000000000,530214000,50222900000000
114493000000,119326000000,0,0,165562000,75812600000,18818800000,406250000000000,316409000,53727600000000
98131300000,87228000000,0,0,285450000,79220300000,14805500000,405910000000000,374111000,51523300000000
0,201746000000,0,0,135135000,79150800000,11960400000,405620000000000,663869000,54799400000000
218095000000,72549100000,0,0,201834000,34897700000,15144600000,405400000000000,154512000,39589400000000
0,86127000000,0,0,29871500,38568300000,7261640000,405350000000000,196589000,46330000000000
144395000000,69194600000,0,0,488646000,49283800000,25887500000,405270000000000,319037000,49728900000000
0,161150000000,0,0,143311000,67308000000,10655700000,405240000000000,327114000,55942000000000
0,239695000000,0,0,39556900,41987200000,1981550000,405010000000000,463453000,41519100000000
0,343629000000,0,0,116312000,81063500000,16937000000,404940000000000,1390970000,48970000000000
221544000000,153591000000,0,1730400000,460296000,40246200000,23514100000,404910000000000,694817000,48397100000000
28502100000,41813700000,0,0,66552700,45692600000,3868640000,404890000000000,138964000,48486900000000
0,342628000000,0,0,100646000,50468300000,13314500000,404410000000000,756558000,48616600000000
0,79774300000,0,0,44447300,58195800000,8705170000,404380000000000,347046000,44292000000000
221656000000,109544000000,0,7939570000,274365000,39025200000,12597500000,404350000000000,238632000,39435100000000
0,130557000000,0,0,20040700,39183700000,4275730000,404180000000000,424416000,43840600000000
139678000000,152445000000,0,0,174140000,48459100000,9697690000,404100000000000,438272000,43780900000000
0,85502700000,0,0,6346250,23858800000,1770330000,403730000000000,266976000,34882000000000
0,232896000000,0,0,15277600,74876800000,9864760000,403660000000000,449122000,49898700000000
510039000000,194627000000,0,0,812058000,85264900000,40546800000,403600000000000,499286000,56367800000000
0,192374000000,0,0,132689000,75502100000,9145710000,403550000000000,562987000,56652400000000
0,225963000000,0,0,39388300,24050500000,9910750000,403530000000000,345291000,38773800000000
0,278877000000,0,5869440000,66973800,77618600000,1420710000,403340000000000,385466000,50848400000000
295804000000,90582900000,0,0,403426000,73814800000,29797200000,402880000000000,303390000,52912900000000
0,175599000000,0,4684940000,78197100,63277200000,6125420000,402850000000000,520190000,55235900000000
162635000000,162824000000,0,0,73062400,72804200000,3947010000,402690000000000,335765000,49410100000000
0,138908000000,0,0,10414200,51130500000,2738210000,402630000000000,547016000,49287800000000
0,83228300000,0,0,24338100,44955500000,8822640000,402580000000000,369472000,44541900000000
0,405565000000,0,0,32323800,57466300000,1612630000,402480000000000,1184580000,46684900000000
0,240362000000,0,0,6628540,58092900000,333685000,402030000000000,350335000,42152600000000
0,210815000000,0,487510000,12749600,64587100000,2095540000,402010000000000,531621000,51927800000000
0,106649000000,0,0,30615100,59850200000,6132890000,401960000000000,336171000,50136000000000
129082000000,284569000000,0,0,86813400,68739400000,4413800000,401910000000000,325331000,50155400000000
0,97258200000,0,0,31749200,41523200000,6640030000,401780000000000,261590000,39151100000000
0,227015000000,0,7207270000,101312000,74553000000,2781380000,401280000000000,377560000,50201700000000
198779000000,142810000000,0,0,156411000,59561400000,5644560000,401270000000000,312822000,43921800000000
0,83112900000,0,0,62518600,24434100000,8226560000,401090000000000,220855000,33193700000000
18381900000,77618000000,0,5050840000,110100000,86330300000,11007300000,400980000000000,262039000,54174400000000
0,105542000000,0,0,13201000,46615800000,5472200000,400800000000000,338303000,50265800000000
14283900000,46775600000,0,0,289890000,54367800000,44930000000,400720000000000,224878000,48943000000000
0,93164100000,0,2255630000,49433500,36005200000,5601100000,400460000000000,290186000,39131400000000
0,127691000000,0,0,70316100,12806600000,6675920000,400250000000000,386494000,18673600000000
0,160393000000,0,0,8982910,27701700000,1108530000,400200000000000,575748000,36321300000000
236439000000,84285800000,0,0,406441000,22326900000,15919100000,400040000000000,318972000,32822400000000
339687000000,115152000000,0,0,634930000,66249500000,39340700000,399710000000000,337144000,46734900000000
