mstardisk,mstarspheroid,sfrdisk,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1196266624831.657,0,52054557.566774376,0,3786677061.0397396,0,1.1853699704750075e+15,7324257677.322652,128164533292871.67,170546471446.8741
0,2406956897120.836,0,67863140.56801046,0,3659288046.7387357,0,1.1731299707798792e+15,6307342040.601579,123864624113515.03,294219247012.3533
0,1243969369924.6614,0,67684324.461163,0,2508999705.017008,0,1.1530599712797792e+15,3097364422.699583,12026019775411.11,161202411047.12955
0,1698727228552.7012,0,95273625.32959278,0,4460723071.156643,0,1.1516299713153975e+15,5742181502.626633,114286884130125.56,340255855312.3732
0,1084027532395.1436,0,49397428.21189946,0,2671734103.2601514,0,1.149129971377667e+15,2788325319.0372047,114871306949065.5,156089980669.8259
0,2334277006043.5903,0,120061319.17165314,0,5735535552.539054,0,1.1405999715901308e+15,3153950402277.3696,46398385500467.414,424800107071.3662
0,1338662494005.4463,0,81029744.15694202,0,3197728916.6761,0,1.134329971746303e+15,4013409500.0987163,113551411291848.5,268131975759.08884
0,1631945218533.0137,0,163555622.05516237,0,7033552928.392341,0,1.1313299718210262e+15,5097565499.331371,91897897146916.45,380753288259.9319
0,1179609916905.3213,0,93547016.30835766,0,2581571681.5259547,0,1.1155299722145701e+15,3513723654.040173,129378770664400.34,313442945629.32916
0,1099744911569.3567,0,59027805.50607256,0,2189653969.3396654,0,1.1075999724120891e+15,2628556955.7229395,131039808687670.77,183885924895.87378
0,1060812265444.4,0,92118400.46411803,0,2644129148.1040597,0,1.1069699724277811e+15,4776922146.846013,123461451821570.48,252559031610.06268
0,1264671244299.5444,0,84266206.91495574,0,2807562739.2338862,0,1.0980899726489626e+15,2885333236.1633863,91319224283894,207029613039.76266
0,2405140715908.453,0,137629849.53318316,0,5438387120.890892,0,1.0940499727495902e+15,10121345994.51083,109313889599104,407755781274.2065
0,1187994847670.2285,0,77643321.95817445,0,2267118603.0226154,0,1.0914699728138524e+15,2789511598.927542,108065413142529.95,265467731195.7157
0,1591058228248.4937,0,96114174.34427112,0,4959944771.497451,0,1.0890299728746275e+15,5639300867.182963,105260763405586.83,300059235420.6133
0,1662932196750.4385,0,175024836.4998545,0,4836403074.136514,0,1.0871299729219525e+15,4859049029.4642105,96529601328823.31,395475436384.1079
0,1258781183079.1726,0,102647912.51534489,0,3579898317.167934,0,1.083599973009877e+15,4042481450.339797,94727600053990.16,312647024520.87775
0,990994988087.5117,0,61653973.01663446,0,3494544228.9175777,0,1.0816699730579491e+15,1980243060.0279915,119166380933051.39,153067789904.26025
0,1199454947559.977,0,110324763.59242553,0,2926665407.828325,0,1.0791099731217132e+15,6429843089.9384985,111581000709405.5,268824675043.33444
0,1255365400783.3196,0,88544973.16214454,0,2409951810.289585,0,1.0787999731294346e+15,3427628186.1246395,122372366587106.3,273991016409.55853
0,1313756748977.5894,0,57362477.941972815,0,3305791972.1101046,0,1.0784299731386505e+15,3606801679.2568607,104509385798914.53,156254295279.83652
0,1708352152813.1472,0,130786604.82943079,0,4466307024.450839,0,1.077469973162562e+15,8020758612.926202,168976523249683.03,372401920466.5167
0,2606784604441.6123,0,98586701.74955688,0,6811468998.504903,0,1.0748799732270732e+15,7202862541.611813,106948623632018.9,339764982732.6996
0,489385823356.4933,0,47773368.49887952,0,678459875.3311286,0,1.0715299733105145e+15,1463013260.9088726,74952433125539.58,65864047767.53474
0,1345287872213.93,0,96319621.80848828,0,3938218697.0036736,0,1.0689699733742786e+15,5913862816.033801,101665346591089.61,309356367731.4933
0,1523578666011.4998,0,118217416.82171462,0,4268960122.4305153,0,1.0675699734091495e+15,6622417713.431744,99419031776606.34,287441551560.18524
0,2324788610973.9917,0,186602302.8222067,0,9144639526.018126,0,1.0661299734450168e+15,9098086352.889563,90088110664634.55,430643951831.0116
0,1777139166756.1685,0,151911387.35598496,0,4856724037.711183,0,1.0637999735030521e+15,3858447595.477848,99119595321924.94,363905594982.1144
0,2315527153075.963,0,296419312.95025605,0,4942256916.692338,0,1.0584699736358106e+15,11242138387.489756,106361405975815.73,509523011779.69196
0,2096175741408.0698,0,171880692.06389344,0,4674766629.484849,0,1.0573699736632094e+15,8330386939.349107,211018716392686.34,461104830542.5817
0,1176179780384.8613,0,75909438.1341783,0,3381927127.7149963,0,1.0452299739655904e+15,3327234312.2675743,108915168092493.72,193948304565.51596
0,1393803879627.1963,0,99466749.60851462,0,4258130416.3291774,0,1.0449699739720664e+15,6802214886.527163,98695418849139.03,315711234998.8966
0,674695893957.7593,0,24356802.847262505,0,939653931.6458634,0,1.0426699740293545e+15,2880730335.309512,142293926743429.62,73187670616.36157
