mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1503380000000,2325970000,2035240000,9676520,22460600,1001080000,302930000000000,54962600000,38116900000000,1890080000
0,810306000000,4149960000,4148310000,1189630,88592400,279923000,302810000000000,28356100000,33339600000000,3347640000
0,911459000000,220250000,220250000,4683000,24329300,541930000,302630000000000,64493800000,38553400000000,1655920000
0,845479000000,2576690,0,16750200,0,1049560000,302520000000000,57828000000,41801200000000,0
0,901144000000,9316680000,9051900000,52253900,5814950000,1283080000,302380000000000,42055400000,28877400000000,89102700000
2434760000,1165450000000,17424600000,17424600000,0.376106,8577210000,73.433,302330000000000,84909900000,42520200000000,128607000000
0,710196000000,730383000,658404000,694650,814179,184866000,302300000000000,22242500000,27801000000000,60281600
0,1084820000000,18013600,0,167795000,2124790000,31122000000,302240000000000,51176600000,34586900000000,30491600000
0,661108000000,1790800000,1790800000,144653000,5449260000,8537830000,302180000000000,39562100000,23688000000000,65534900000
0,1022010000000,5242510000,5241460000,40306000,1285100000,3122390000,302180000000000,54893100000,36454500000000,22211600000
20392700000,841354000000,57304900000,57302900000,19871700,7066150000,466773000,302170000000000,20849600000,30516700000000,83361700000
0,1365300000000,20370200000,20343600000,20612700,5953560000,1126400000,302130000000000,61283400000,39524500000000,54425000000
0,890187000000,5715980000,5712060000,70124800,5694760000,2135470000,302100000000000,46549700000,36863800000000,83424100000
0,1033490000000,4400070,0,40168700,0,4482280000,302060000000000,68841400000,41760500000000,0
0,734459000000,1102370000,0,274362000,16535400,7984330000,301960000000000,30125300000,35161700000000,834432000
0,948490000000,465807000,0,48023600,1163750000,4074040000,301960000000000,64516700000,39834000000000,17079700000
0,861556000000,4309880000,4309880000,1667800,4958210000,62956500,301930000000000,28730900000,32688700000000,58594900000
0,557506000000,1021720000,980806000,20724400,0,1747650000,301880000000000,19925700000,33044100000000,0
8163990000,631265000000,2325200000,2325200000,7311230,889334000,452748000,301860000000000,22615000000,19516800000000,16446000000
0,1162790000000,5276060000,5275340000,2.88341,441483000,1281,301820000000000,37722400000,35142900000000,11266200000
0,899753000000,978396000,0,156938000,5817750000,6116760000,301760000000000,45590800000,36901300000000,68897400000
0,520212000000,2026100000,1637680000,64037300,486711000,4668400000,301630000000000,22979800000,29508200000000,9105310000
0,671085000000,3886420,0,10126700,1034390000,1453550000,301500000000000,32289200000,37803200000000,12560200000
0,1112540000000,37210600,0,7908970,0,939550000,301480000000000,78105800000,42270000000000,0
0,714822000000,9944200000,9922700000,1075310,78749900,459018000,301340000000000,24275900000,34427800000000,2606320000
0,690383000000,3036840000,3031670000,1764410,141012000,255629000,301270000000000,18979400000,32451900000000,5322890000
0,797557000000,13715000000,13683600000,0,11200300000,0,301230000000000,40912300000,36039500000000,102107000000
0,659739000000,380310000,330955000,3478720,798428000,326080000,301210000000000,24752600000,32110100000000,10341200000
0,1246980000000,851832000,851429000,0,5731000000,0,301090000000000,31317400000,36973100000000,43849500000
0,426599000000,248567000,246744000,180940,4742960,138537000,301070000000000,14254400000,35636000000000,272885000
0,1259570000000,5400120,0,74727800,6540600000,4536260000,300780000000000,66159000000,36514500000000,77817800000
0,658034000000,3049650000,2908760000,10568800,7802190,1029950000,300720000000000,25304500000,33212900000000,480468000
0,996437000000,47900000,0,78836300,0,4636340000,300710000000000,108611000000,42119300000000,0
0,644002000000,2005230,0,2982290,0,378993000,300680000000000,26026300000,28450100000000,0
13556800000,463830000000,20828300,0,246114000,466308000,13656200000,300660000000000,21986000000,35606300000000,4368030000
0,1150090000000,396684000,377845000,0,3790880000,0,300350000000000,61997100000,33944000000000,58862600000
0,673582000000,4963870000,4962590000,8068880,7557580000,553795000,300340000000000,33923800000,26974100000000,90129700000
0,1262550000000,1133740000,791124000,25835900,34666000,1615280000,300320000000000,66243500000,37186100000000,859657000
0,731113000000,35835800000,35767600000,27028200,9942370000,751516000,300320000000000,28850400000,34056700000000,130121000000
0,1264970000000,3622500000,3612660000,0,109704000,0,300250000000000,62387600000,25459200000000,6012470000
0,1347390000000,924045000,0,74275000,23788100000,5455980000,300150000000000,91664800000,38289100000000,208460000000
0,605689000000,4370260,0,399181000,5115070000,15050100000,300070000000000,46921400000,37530900000000,70889000000
0,928154000000,62031200,0,137531000,9360200000,8305130000,300030000000000,77717300000,34543300000000,125742000000
1170040000,606130000000,1464340,0,9251800,0,981798000,300030000000000,34389400000,38113600000000,0
0,951220000000,2868460000,2865560000,231730,39747400,93725100,299990000000000,47945000000,38825000000000,3238780000
0,888895000000,0,0,12723300,0,1383530000,299950000000000,54405600000,39865200000000,0
0,869879000000,0,0,92565300,376376000,5720000000,299920000000000,62392200000,34298700000000,6593120000
0,1071760000000,7642980,0,114992000,9669330000,5126330000,299830000000000,61520100000,32978300000000,97335300000
0,719133000000,51890800,0,6493650,0,1266870000,299800000000000,33859000000,34403700000000,0
0,662827000000,75803600,0,181882000,0,7832990000,299770000000000,22526500000,24585900000000,0
0,889001000000,35050900,30703900,136963000,1231720000,3466620000,299770000000000,33919400000,24568800000000,14267200000
0,763280000000,2685770000,2683710000,10807800,4851510000,745542000,299750000000000,41238600000,34989200000000,63265000000
0,1214910000000,6212810000,5714160000,0,1528730000,0,299690000000000,62693700000,40761900000000,22496900000
1235980000,412026000000,9777970,0,17579400,0,1647710000,299650000000000,15872400000,21590200000000,0
0,783889000000,15024900,0,20633900,898066000,1624400000,299620000000000,35003900000,34365400000000,11890800000
0,504435000000,609380000,607699000,46423500,9394610,3691880000,299520000000000,22008900000,32617300000000,864630000
0,617559000000,48269300,0,8309730,0,1382870000,299410000000000,31208400000,31621800000000,0
0,890799000000,4070690,0,22464300,0,1274300000,299390000000000,46491600000,35428300000000,0
0,603989000000,11247100,0,105772000,0,4195490000,299330000000000,18869000000,30892700000000,0
0,840430000000,2554730000,2553250000,156658,106119000,58314700,299240000000000,35329400000,38418800000000,3738050000
0,647351000000,3167030,0,69196,0,117046000,299050000000000,29000200000,23027900000000,0
0,513940000000,4062080,0,82154700,0,8192160000,298980000000000,21972900000,22690500000000,0
0,444324000000,320636000,0,112490000,0,8045210000,298630000000000,15825000000,18306100000000,0
0,822517000000,2637640000,2521440000,62808300,7562640000,3983930000,298500000000000,43988100000,30169000000000,111319000000
0,1030810000000,10916300000,10893800000,18985600,693685000,1616310000,298500000000000,25105400000,36040300000000,12605800000
0,718637000000,719033000,684047000,9566.02,26929300,5214370,298390000000000,50058600000,31647600000000,2465740000
