mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
12847100000,1388740000000,0,0,815581000,16233700000,18195000000,462640000000000,218556000000,63667400000000,192057000000
0,893948000000,257926000,0,11206600,237852000,937981000,462490000000000,38962400000,47445300000000,6037490000
0,1546300000000,11473400000,11169500000,0,10090600000,0,462470000000000,135497000000,59285400000000,142521000000
0,1033490000000,6504390000,6471150000,12360800,5650500000,567669000,462030000000000,47690900000,47966300000000,67615400000
0,1189270000000,34367200,0,40498800,2967900000,3032090000,461760000000000,94284800000,37312700000000,38635300000
0,968678000000,6888350,0,133461000,4557510000,3734870000,461270000000000,66633100000,53660800000000,36233500000
0,686256000000,208949000,0,107964000,0,6681780000,460860000000000,57918900000,56454000000000,0
0,1947040000000,492699000,482716000,283554,12363700000,62136600,460600000000000,181948000000,61142200000000,144826000000
0,930616000000,74602900,0,47481100,0,2482970000,460400000000000,56149100000,59040400000000,0
0,1602990000000,0,0,2697710,0,472813000,460320000000000,95078500000,60183300000000,0
0,1602870000000,703193000,585464000,524804000,7924440000,16035100000,460170000000000,151111000000,57323200000000,103866000000
0,1078510000000,1158620000,985966000,20365200,17849600,1983500000,459160000000000,62590900000,43461900000000,1048350000
0,1446600000000,1278170000,1275340000,205337,61038400,60526200,459020000000000,124827000000,57429500000000,1838290000
0,353692000000,2035750000,1712190000,7864800,265158000,352716000,458930000000000,7230350000,30343300000000,10334900000
0,1453960000000,3799330000,3775610000,79820400,93349800,3444400000,458900000000000,126874000000,58176300000000,3058610000
0,1147040000000,3990870000,3962730000,16983700,42944700,1445240000,458490000000000,51619100000,44734500000000,1327250000
0,1630810000000,7100320,0,1143850000,13323700000,36473000000,458200000000000,181432000000,61363500000000,150081000000
18904000000,674741000000,8889990,0,213514000,430123000,7204930000,457350000000000,24446400000,61674900000000,5515610000
0,776197000000,1325020000,1315050000,422195000,0,15801000000,456570000000000,19650700000,42171400000000,0
