mstardisk mstarspheroid sfr sfrspheroid mzgasdisk mzgasspheroid mcolddisk halomass mbh mhot mcoldspheroid zgasdisk zgasspheroid test test1 test2 test3 test4 test5 test6 test7 test8 test9
0 1.07735E+12 1327170000 1310160000 31185800 0 1909530000 8.3145E+14 65064000000 7.83844E+13 0 0.016331663 0 0 0 0 0 0 0 0 0 0 0
0 2.21432E+12 4144020000 4068370000 34701600 7429700000 1561100000 8.2056E+14 2.32665E+11 1.06733E+14 1.01514E+11 0.022228941 0.07318892 0 0 0 0 0 0 0 0 0 0
0 2.60953E+12 1693660 0 269942000 11398900000 7925900000 8.202E+14 7.49453E+11 1.07846E+14 1.53885E+11 0.034058214 0.074074146 0 0 0 0 0 0 0 0 0 0
0 1.39968E+12 164883000 0 393911000 6032560000 13511200000 8.1823E+14 1.7718E+11 9.59345E+13 1.10716E+11 0.029154405 0.054486795 0 0 0 0 0 0 0 0 0 0
0 1.1996E+12 3174920000 3149550000 4739860 98689700 322235000 8.1749E+14 64975700000 8.61773E+13 6256460000 0.014709327 0.015774048 0 0 0 0 0 0 0 0 0 0
0 1.64635E+12 1685700000 1317100000 124202 9387030000 26340200 8.1722E+14 1.123E+11 7.73697E+13 1.04059E+11 0.004715302 0.090208728 0 0 0 0 0 0 0 0 0 0
0 2.48119E+12 36041200000 36040200000 4052430 25117100000 115555000 8.1536E+14 3.79031E+11 1.03198E+14 2.00158E+11 0.035069274 0.125486366 0 0 0 0 0 0 0 0 0 0
0 1.93675E+12 162738000 0 62335700 11915200000 4618110000 8.1531E+14 1.43934E+11 8.95497E+13 1.33969E+11 0.013498098 0.088939979 0 0 0 0 0 0 0 0 0 0
0 1.75334E+12 176914000 0 109822 8543000000 46544900 8.151E+14 1.05325E+11 8.08579E+13 1.00444E+11 0.002359485 0.085052367 0 0 0 0 0 0 0 0 0 0
0 1.80708E+12 92777500000 92686900000 256383000 39949000000 6283350000 8.125E+14 59011300000 7.59831E+13 2.91661E+11 0.040803552 0.136970661 0 0 0 0 0 0 0 0 0 0
0 2.19281E+12 92897100 0 498670000 0 12883100000 8.118E+14 4.20976E+11 1.03968E+14 0 0.038707299 0 0 0 0 0 0 0 0 0 0 0
0 1.11118E+12 532381000 492387000 169745 2036830000 49576700 8.1151E+14 72180700000 7.70662E+13 25259100000 0.003423887 0.080637473 0 0 0 0 0 0 0 0 0 0
0 2.29643E+12 2362360000 1700800000 58656600 15181900000 3194160000 8.1112E+14 4.53773E+11 1.03442E+14 1.57099E+11 0.018363701 0.096639062 0 0 0 0 0 0 0 0 0 0
0 2.49833E+12 10086500000 10052800000 23018900 10531300000 1269810000 8.1046E+14 3.25346E+11 1.03581E+14 1.31603E+11 0.01812783 0.080023252 0 0 0 0 0 0 0 0 0 0
0 1.96859E+12 8740690000 7653780000 17464400 9881880000 1230570000 8.103E+14 2.15209E+11 9.74015E+13 1.23082E+11 0.014192122 0.080286963 0 0 0 0 0 0 0 0 0 0
